WardsPlaced,WardsDestroyed,Dragons,Heralds,TowersDestroyed,TotalMinionsKilled,TotalJungleMinionsKilled,Win
28,2,0,0,0,195,36,0
12,1,0,0,0,174,43,0
15,0,1,0,0,186,46,0
43,1,0,1,0,201,55,0
75,4,0,0,0,210,57,0
18,0,1,0,0,225,42,1
18,3,1,0,0,225,53,1
16,2,0,0,0,209,48,0
16,3,0,0,0,189,61,0
13,1,1,0,0,220,39,1
20,3,0,0,0,231,28,0
33,2,0,1,0,157,40,0
18,1,1,0,0,238,53,1
14,3,0,1,0,210,52,0
15,3,0,0,0,224,51,1
17,1,0,0,0,209,53,0
14,1,0,0,0,263,56,1
43,3,0,1,0,203,54,0
21,4,0,0,0,213,49,1
11,3,0,0,0,188,48,0
14,3,1,0,0,214,45,1
13,1,0,0,0,203,43,0
17,2,0,0,0,238,56,0
78,4,1,1,0,238,67,0
33,3,0,0,0,208,45,1
17,1,0,0,0,204,44,0
18,1,1,0,0,209,44,1
19,3,0,0,0,228,61,0
105,5,1,0,0,217,53,0
18,5,1,0,0,233,52,0
22,7,1,0,0,228,40,1
17,4,1,1,0,218,51,1
12,3,0,0,0,203,32,0
15,2,0,0,0,201,45,0
40,2,0,0,0,204,56,1
24,3,0,0,0,235,52,0
12,4,1,0,0,217,84,0
20,2,0,1,0,203,48,0
11,3,0,1,0,234,68,0
18,2,0,1,0,213,48,0
28,3,0,0,0,222,48,0
36,1,0,0,0,231,44,1
18,3,1,0,0,204,36,1
12,2,0,0,0,233,16,1
18,4,0,1,0,252,60,0
41,0,0,0,0,187,32,0
14,4,0,0,0,251,48,1
19,1,1,0,1,218,54,1
15,2,0,1,0,180,44,1
16,1,0,0,0,206,56,0
14,0,0,0,0,209,50,0
18,0,0,0,0,213,49,1
22,4,1,1,0,217,53,1
37,2,0,0,0,248,54,1
14,4,1,0,0,246,56,0
16,2,0,1,0,224,53,0
17,0,1,0,0,181,63,0
19,3,1,0,0,213,42,1
29,3,1,1,0,222,55,1
12,0,0,0,1,236,58,0
18,4,0,0,0,191,62,0
24,3,0,0,0,208,70,0
18,2,1,0,0,229,54,1
122,3,1,1,0,229,68,1
12,4,1,0,0,203,41,0
52,2,0,0,0,188,42,0
19,2,0,0,0,210,52,0
32,4,1,0,0,212,46,0
14,0,0,0,0,233,57,1
19,5,0,0,0,198,53,0
16,2,0,1,0,202,62,0
36,0,0,0,0,200,32,1
18,2,0,0,0,232,44,0
13,3,1,0,0,204,38,0
15,3,1,0,0,242,52,1
50,4,1,1,0,200,52,1
14,2,0,0,0,221,52,0
17,2,0,1,0,212,40,1
18,1,1,0,0,232,44,1
17,5,0,0,0,242,46,0
43,6,0,1,0,256,43,0
12,1,1,0,0,204,56,0
20,2,0,1,0,199,51,0
18,3,1,0,0,235,41,1
16,0,1,0,0,208,55,1
14,2,1,1,0,261,68,1
12,6,0,0,0,241,56,0
16,4,1,0,0,201,48,1
15,0,0,0,0,232,64,1
13,3,1,0,0,210,53,0
83,13,0,0,0,194,25,0
17,4,0,0,0,236,73,0
16,3,0,0,0,223,51,1
14,4,0,0,1,257,62,1
14,2,1,0,0,209,48,0
17,1,0,0,0,213,59,0
16,6,0,0,0,247,37,1
40,1,0,1,0,250,70,1
16,0,1,1,0,242,52,1
16,1,0,1,0,227,28,0
16,4,1,0,0,224,53,0
14,3,0,0,0,209,43,0
13,5,0,0,0,199,52,0
18,4,0,1,0,252,44,0
24,0,0,0,0,222,44,0
12,5,1,0,0,248,44,0
17,3,0,0,0,200,46,1
19,3,0,0,0,233,59,0
12,3,0,0,0,221,36,1
14,3,1,0,0,211,60,1
19,2,1,0,0,231,64,1
16,2,1,1,0,232,44,0
18,1,0,0,0,143,48,1
17,1,0,0,0,187,29,0
32,2,1,0,0,202,47,1
16,2,1,1,0,228,48,0
19,5,0,0,0,227,44,1
14,1,1,0,0,224,39,1
12,2,0,0,0,196,60,0
30,6,0,1,0,217,67,0
18,5,1,0,0,229,43,0
14,16,0,0,0,213,40,0
14,2,1,0,0,192,43,1
13,6,0,0,0,207,44,1
16,4,0,0,0,193,40,0
38,3,1,0,0,205,40,1
40,1,1,0,0,183,37,1
18,5,1,0,0,240,61,1
40,3,0,0,0,212,52,0
18,5,0,0,0,215,52,1
17,5,0,0,0,226,36,1
15,5,1,0,0,241,36,1
18,2,0,0,0,215,48,1
43,6,1,0,0,226,33,1
13,5,0,0,0,191,48,0
13,1,1,0,0,228,55,1
20,1,1,0,0,199,37,1
15,1,0,1,0,227,37,1
17,1,0,0,0,223,64,1
28,4,1,0,0,211,55,0
12,3,0,0,0,192,32,0
87,1,0,0,0,183,30,0
15,3,0,0,0,251,64,1
15,4,0,0,0,172,40,0
23,3,0,0,0,192,40,1
18,1,0,0,0,206,60,1
16,3,0,1,1,232,40,1
16,2,1,1,0,191,60,0
17,3,0,0,0,207,31,1
15,5,0,0,0,232,53,0
15,2,1,0,0,224,56,0
21,2,0,0,0,203,48,0
70,2,1,1,0,178,56,0
18,1,0,1,0,230,47,0
10,1,0,0,0,198,59,0
15,4,0,0,0,230,56,0
15,9,1,1,0,222,71,1
91,3,0,0,1,213,50,1
18,2,0,0,0,200,48,0
16,4,0,0,0,205,56,1
18,11,0,0,1,207,46,1
16,2,1,0,0,225,60,1
13,1,1,1,0,235,59,1
13,2,1,0,0,198,44,1
54,3,1,0,0,229,53,0
17,2,0,0,0,221,44,1
35,1,0,0,0,196,40,0
10,1,0,0,0,215,42,0
19,5,0,0,0,225,46,0
22,6,1,0,0,253,64,1
19,2,0,0,0,188,53,0
14,5,0,1,0,188,63,1
15,2,0,0,0,213,47,0
38,2,1,0,0,229,39,1
16,3,1,0,0,200,43,0
17,4,0,0,0,240,56,1
18,2,0,0,0,230,51,1
19,6,0,0,0,222,33,0
14,3,1,0,0,238,64,1
