blueWardsPlaced,blueWardsDestroyed,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redKills,redDeaths,redAssists,redDragons,redHeralds,redTowersDestroyed,redTotalMinionsKilled,redTotalJungleMinionsKilled,Wins,WardsPlaced,WardsDestroyed,Kills,Deaths,Assists,Dragons,Heralds,TowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled
28,2,9,6,11,0,0,0,195,36,15,6,6,9,8,0,0,0,197,55,lose,1,0,1,0,1,1,1,1,0,0
12,1,5,5,5,0,0,0,174,43,12,1,5,5,2,1,1,1,240,52,lose,1,1,1,1,1,0,0,0,0,0
15,0,7,11,4,1,0,0,186,46,15,3,11,7,14,0,0,0,203,28,lose,1,0,0,1,0,1,1,1,0,1
43,1,4,5,5,0,1,0,201,55,15,2,5,4,10,0,0,0,235,47,lose,1,0,0,1,0,1,1,1,0,1
75,4,6,6,6,0,0,0,210,57,17,2,6,6,7,1,0,0,225,67,lose,1,1,1,1,0,0,1,1,0,0
18,0,5,3,6,1,0,0,225,42,36,5,3,5,2,0,0,0,221,59,win,0,0,1,0,1,1,1,1,1,0
18,3,7,6,7,1,0,0,225,53,57,1,6,7,9,0,0,0,164,35,win,0,1,1,0,0,1,1,1,1,1
16,2,5,13,3,0,0,0,209,48,15,0,13,5,11,1,0,0,157,54,lose,1,1,0,1,0,0,1,1,1,0
16,3,7,7,8,0,0,0,189,61,15,2,7,7,5,1,1,0,240,53,lose,1,1,1,1,1,0,0,1,0,1
13,1,4,5,5,1,0,0,220,39,16,2,5,4,4,0,0,0,247,43,win,0,0,0,1,1,1,1,1,0,0
20,3,4,4,6,0,0,0,231,28,15,2,4,4,5,1,0,0,216,51,lose,1,1,1,1,1,0,1,1,1,0
33,2,11,11,7,0,1,0,157,40,17,1,11,11,9,0,0,0,188,52,lose,1,1,1,1,0,1,1,1,0,0
18,1,7,1,11,1,0,0,238,53,12,1,1,7,1,0,0,0,240,50,win,1,1,1,0,1,1,1,1,0,1
14,3,4,9,1,0,1,0,210,52,20,3,9,4,11,0,0,0,229,51,lose,0,1,0,1,0,1,1,1,0,1
15,3,4,4,4,0,0,0,224,51,102,1,4,4,3,0,0,0,242,48,win,0,1,1,1,1,1,1,1,0,1
17,1,3,7,3,0,0,0,209,53,18,3,7,3,13,0,0,0,237,51,lose,0,0,0,1,0,1,1,1,0,1
14,1,10,2,8,0,0,0,263,56,13,2,2,10,2,1,0,0,210,64,win,1,0,1,0,1,0,1,1,1,0
43,3,3,7,3,0,1,0,203,54,17,14,7,3,6,0,0,0,218,53,lose,1,0,0,1,0,1,1,1,0,1
21,4,5,4,11,0,0,0,213,49,19,3,4,5,3,1,1,0,228,52,win,1,1,1,0,1,0,0,1,0,0
11,3,5,9,5,0,0,0,188,48,15,1,9,5,9,0,0,0,219,56,lose,0,1,0,1,0,1,1,1,0,0
14,3,11,6,15,1,0,0,214,45,12,2,6,11,4,0,0,0,225,48,win,1,1,1,0,1,1,1,1,0,0
13,1,4,13,5,0,0,0,203,43,15,3,13,4,14,1,0,0,209,45,lose,0,0,0,1,0,0,1,1,0,0
17,2,4,6,3,0,0,0,238,56,16,3,6,4,10,1,0,0,231,60,lose,1,0,0,1,0,0,1,1,1,0
78,4,4,3,4,1,1,0,238,67,15,3,3,4,3,0,0,0,220,64,lose,1,1,1,0,1,1,1,1,1,1
33,3,6,9,10,0,0,0,208,45,18,3,9,6,13,0,0,0,197,36,win,1,1,0,1,0,1,1,1,1,1
17,1,4,8,4,0,0,0,204,44,19,2,8,4,13,1,0,0,221,36,lose,0,0,0,1,0,0,1,1,0,1
18,1,8,6,9,1,0,0,209,44,10,3,6,8,3,0,0,0,233,36,win,1,0,1,0,1,1,1,1,0,1
19,3,7,4,9,0,0,0,228,61,14,4,4,7,2,1,0,0,202,49,lose,1,0,1,0,1,0,1,1,1,1
105,5,8,6,13,1,0,0,217,53,65,3,6,8,11,0,0,0,223,40,lose,1,1,1,0,1,1,1,1,0,1
18,5,3,8,2,1,0,0,233,52,18,3,8,3,12,0,0,0,225,52,lose,1,1,0,1,0,1,1,1,1,1
22,7,9,4,10,1,0,0,228,40,21,4,4,9,2,0,0,0,227,36,win,1,1,1,0,1,1,1,1,1,1
17,4,5,2,6,1,1,0,218,51,15,2,2,5,2,0,0,0,206,48,win,1,1,1,0,1,1,1,1,1,1
12,3,6,4,7,0,0,0,203,32,19,2,4,6,4,1,0,0,206,44,lose,0,1,1,0,1,0,1,1,0,0
15,2,5,4,4,0,0,0,201,45,14,1,4,5,4,1,0,0,222,38,lose,1,1,1,0,1,0,1,1,0,1
40,2,6,4,4,0,0,0,204,56,15,1,4,6,5,1,0,0,223,62,win,1,1,1,0,0,0,1,1,0,0
24,3,3,4,6,0,0,0,235,52,17,2,4,3,7,1,1,0,218,50,lose,1,1,0,1,0,0,0,1,1,1
12,4,2,8,2,1,0,0,217,84,14,2,8,2,5,0,0,0,234,64,lose,0,1,0,1,0,1,1,1,0,1
20,2,5,6,4,0,1,0,203,48,40,4,6,5,6,1,0,0,214,67,lose,0,0,0,1,0,0,1,1,0,0
11,3,7,9,5,0,1,0,234,68,18,1,9,7,9,1,0,0,227,40,lose,0,1,0,1,0,0,1,1,1,1
18,2,3,6,3,0,1,0,213,48,36,3,6,3,6,1,0,0,236,44,lose,0,0,0,1,0,0,1,1,0,1
28,3,4,11,3,0,0,0,222,48,41,0,11,4,16,1,0,0,213,39,lose,0,1,0,1,0,0,1,1,1,1
36,1,10,6,12,0,0,0,231,44,16,2,6,10,7,0,0,0,185,39,win,1,0,1,0,1,1,1,1,1,1
18,3,9,6,14,1,0,0,204,36,17,2,6,9,6,0,0,0,194,54,win,1,1,1,0,1,1,1,1,1,0
12,2,5,5,3,0,0,0,233,16,19,1,5,5,4,0,0,0,221,44,win,0,1,1,1,0,1,1,1,1,0
18,4,3,4,2,0,1,0,252,60,39,4,4,3,2,1,0,0,243,49,lose,0,1,0,1,1,0,1,1,1,1
41,0,1,10,0,0,0,0,187,32,12,1,10,1,6,0,1,1,247,56,lose,1,0,0,1,0,1,0,0,0,0
14,4,11,2,9,0,0,0,251,48,15,3,2,11,2,0,0,0,196,53,win,0,1,1,0,1,1,1,1,1,0
19,1,8,4,5,1,0,1,218,54,13,5,4,8,5,0,0,0,200,57,win,1,0,1,0,1,1,1,1,1,0
15,2,2,3,2,0,1,0,180,44,12,4,3,2,1,0,0,0,218,56,win,1,0,0,1,1,1,1,1,0,0
16,1,5,5,8,0,0,0,206,56,38,6,5,5,6,0,0,0,241,44,lose,0,0,1,1,1,1,1,1,0,1
14,0,7,9,5,0,0,0,209,50,22,4,9,7,13,1,0,0,206,53,lose,0,0,0,1,0,0,1,1,1,0
18,0,6,8,6,0,0,0,213,49,12,1,8,6,7,0,0,0,182,44,win,1,0,0,1,0,1,1,1,1,1
22,4,5,2,2,1,1,0,217,53,16,3,2,5,1,0,0,0,212,60,win,1,1,1,0,1,1,1,1,1,0
37,2,5,3,5,0,0,0,248,54,15,1,3,5,5,1,0,0,210,68,win,1,1,1,0,1,0,1,1,1,0
14,4,3,3,2,1,0,0,246,56,20,2,3,3,1,0,0,0,227,64,lose,0,1,1,1,1,1,1,1,1,0
16,2,4,10,4,0,1,0,224,53,30,2,10,4,11,1,0,0,201,54,lose,0,1,0,1,0,0,1,1,1,0
17,0,5,7,7,1,0,0,181,63,14,0,7,5,6,0,0,0,218,76,lose,1,1,0,1,1,1,1,1,0,0
19,3,10,6,11,1,0,0,213,42,18,4,6,10,5,0,0,0,234,44,win,1,0,1,0,1,1,1,1,0,0
29,3,7,5,5,1,1,0,222,55,14,4,5,7,4,0,0,0,247,44,win,1,0,1,0,1,1,1,1,0,1
12,0,10,7,11,0,0,1,236,58,20,1,7,10,6,1,0,0,182,45,lose,0,0,1,0,1,0,1,1,1,1
18,4,2,7,0,0,0,0,191,62,18,3,7,2,4,1,0,0,218,48,lose,1,1,0,1,0,0,1,1,0,1
24,3,6,7,5,0,0,0,208,70,17,2,7,6,10,1,0,0,207,45,lose,1,1,0,1,0,0,1,1,1,1
18,2,6,4,4,1,0,0,229,54,36,3,4,6,5,0,1,0,232,56,win,0,0,1,0,0,1,0,1,0,0
122,3,9,1,10,1,1,0,229,68,14,3,1,9,1,0,0,0,233,40,win,1,1,1,0,1,1,1,1,0,1
12,4,4,10,3,1,0,0,203,41,16,2,10,4,6,0,0,0,224,72,lose,0,1,0,1,0,1,1,1,0,0
52,2,6,12,7,0,0,0,188,42,15,1,12,6,11,0,1,1,240,62,lose,1,1,0,1,0,1,0,0,0,0
19,2,4,5,2,0,0,0,210,52,11,4,5,4,1,0,0,0,227,62,lose,1,0,0,1,1,1,1,1,0,0
32,4,7,8,8,1,0,0,212,46,24,5,8,7,5,0,1,0,200,42,lose,1,0,0,1,1,1,0,1,1,1
14,0,3,5,3,0,0,0,233,57,11,1,5,3,6,1,0,0,234,44,win,1,0,0,1,0,0,1,1,0,1
19,5,4,5,4,0,0,0,198,53,18,4,5,4,5,1,0,0,241,44,lose,1,1,0,1,0,0,1,1,0,1
