WardsPlaced,WardsDestroyed,Dragons,Heralds,TowersDestroyed,TotalMinionsKilled,TotalJungleMinionsKilled,Win
28,2,0,0,0,195,36,lose
12,1,0,0,0,174,43,lose
15,0,1,0,0,186,46,lose
43,1,0,1,0,201,55,lose
75,4,0,0,0,210,57,lose
18,0,1,0,0,225,42,win
18,3,1,0,0,225,53,win
16,2,0,0,0,209,48,lose
16,3,0,0,0,189,61,lose
13,1,1,0,0,220,39,win
20,3,0,0,0,231,28,lose
33,2,0,1,0,157,40,lose
18,1,1,0,0,238,53,win
14,3,0,1,0,210,52,lose
15,3,0,0,0,224,51,win
17,1,0,0,0,209,53,lose
14,1,0,0,0,263,56,win
43,3,0,1,0,203,54,lose
21,4,0,0,0,213,49,win
11,3,0,0,0,188,48,lose
14,3,1,0,0,214,45,win
13,1,0,0,0,203,43,lose
17,2,0,0,0,238,56,lose
78,4,1,1,0,238,67,lose
33,3,0,0,0,208,45,win
17,1,0,0,0,204,44,lose
18,1,1,0,0,209,44,win
19,3,0,0,0,228,61,lose
105,5,1,0,0,217,53,lose
18,5,1,0,0,233,52,lose
22,7,1,0,0,228,40,win
17,4,1,1,0,218,51,win
12,3,0,0,0,203,32,lose
15,2,0,0,0,201,45,lose
40,2,0,0,0,204,56,win
24,3,0,0,0,235,52,lose
12,4,1,0,0,217,84,lose
20,2,0,1,0,203,48,lose
11,3,0,1,0,234,68,lose
18,2,0,1,0,213,48,lose
28,3,0,0,0,222,48,lose
36,1,0,0,0,231,44,win
18,3,1,0,0,204,36,win
12,2,0,0,0,233,16,win
18,4,0,1,0,252,60,lose
41,0,0,0,0,187,32,lose
14,4,0,0,0,251,48,win
19,1,1,0,1,218,54,win
15,2,0,1,0,180,44,win
16,1,0,0,0,206,56,lose
14,0,0,0,0,209,50,lose
18,0,0,0,0,213,49,win
22,4,1,1,0,217,53,win
37,2,0,0,0,248,54,win
14,4,1,0,0,246,56,lose
16,2,0,1,0,224,53,lose
17,0,1,0,0,181,63,lose
19,3,1,0,0,213,42,win
29,3,1,1,0,222,55,win
12,0,0,0,1,236,58,lose
18,4,0,0,0,191,62,lose
24,3,0,0,0,208,70,lose
18,2,1,0,0,229,54,win
122,3,1,1,0,229,68,win
12,4,1,0,0,203,41,lose
52,2,0,0,0,188,42,lose
19,2,0,0,0,210,52,lose
32,4,1,0,0,212,46,lose
14,0,0,0,0,233,57,win
19,5,0,0,0,198,53,lose
16,2,0,1,0,202,62,lose
36,0,0,0,0,200,32,win
18,2,0,0,0,232,44,lose
13,3,1,0,0,204,38,lose
15,3,1,0,0,242,52,win
50,4,1,1,0,200,52,win
14,2,0,0,0,221,52,lose
17,2,0,1,0,212,40,win
18,1,1,0,0,232,44,win
17,5,0,0,0,242,46,lose
43,6,0,1,0,256,43,lose
12,1,1,0,0,204,56,lose
20,2,0,1,0,199,51,lose
18,3,1,0,0,235,41,win
16,0,1,0,0,208,55,win
14,2,1,1,0,261,68,win
12,6,0,0,0,241,56,lose
16,4,1,0,0,201,48,win
15,0,0,0,0,232,64,win
13,3,1,0,0,210,53,lose
83,13,0,0,0,194,25,lose
17,4,0,0,0,236,73,lose
16,3,0,0,0,223,51,win
14,4,0,0,1,257,62,win
14,2,1,0,0,209,48,lose
17,1,0,0,0,213,59,lose
16,6,0,0,0,247,37,win
40,1,0,1,0,250,70,win
16,0,1,1,0,242,52,win
16,1,0,1,0,227,28,lose
16,4,1,0,0,224,53,lose
14,3,0,0,0,209,43,lose
13,5,0,0,0,199,52,lose
18,4,0,1,0,252,44,lose
24,0,0,0,0,222,44,lose
12,5,1,0,0,248,44,lose
17,3,0,0,0,200,46,win
19,3,0,0,0,233,59,lose
12,3,0,0,0,221,36,win
14,3,1,0,0,211,60,win
19,2,1,0,0,231,64,win
16,2,1,1,0,232,44,lose
18,1,0,0,0,143,48,win
17,1,0,0,0,187,29,lose
32,2,1,0,0,202,47,win
16,2,1,1,0,228,48,lose
19,5,0,0,0,227,44,win
14,1,1,0,0,224,39,win
12,2,0,0,0,196,60,lose
30,6,0,1,0,217,67,lose
18,5,1,0,0,229,43,lose
14,16,0,0,0,213,40,lose
14,2,1,0,0,192,43,win
13,6,0,0,0,207,44,win
16,4,0,0,0,193,40,lose
38,3,1,0,0,205,40,win
40,1,1,0,0,183,37,win
18,5,1,0,0,240,61,win
40,3,0,0,0,212,52,lose
18,5,0,0,0,215,52,win
17,5,0,0,0,226,36,win
15,5,1,0,0,241,36,win
18,2,0,0,0,215,48,win
43,6,1,0,0,226,33,win
13,5,0,0,0,191,48,lose
